estateName,road,facility,,,,
仁恒滨河湾,估价对象所在小区东北临汇通街；西北临汇源北路；东南临古雅坡路；西南临汇源东路。,周边有“锦东庭园”、“天曜”等住宅楼盘，区域内有成都国际学校、成都七中育才学校、东大国际社区卫生服务中心站、肖小儿国医院、新牛沙综合市场、家乐福超市、牛市口社区过渡农贸市场、建设银行、中国银行、邮政储蓄银行等公共及生活配套设施，区域内有23路、66路、92路、200路等公交车经过，距地铁2号线“东大路”站约500米，公共交通便捷度和道路通达度好，居家生活便利。,,,,
绿地世纪城2期,估价对象所在小区北临北三环路三段；西临道路；南临韦家碾一路；东临韦家碾四路。,周边有“双水康城”、“ 芙华?新大陆”等住宅楼盘，区域内有金草地幼儿园、双水小学、成都市泉水路小学、双水碾中学、凤双中西医门诊部、金牛顺和堂诊所、舞东风、红日超市、中国建设银行、中国民生银行、中国工商银行等公共及生活配套设施，区域内有50路、136路、246路、1066路等公交车经过，公共交通便捷度和道路通达度好，区域内居家生活便利。,,,,
兴达公寓,估价对象所在小区东北临东明街；西北临西北街；东南临广场路；西南临安福街。,周边有“欧城花园”、“水云花都”、“富豪时代”等住宅楼盘，区域内有有双流区机关幼儿园、东升小学、双流中学、双流县第一人民医院、万达明城百货、欧尚、苏宁易购、农商银行、建设银行、工商银行等公共及生活配套设施，区域内有803路、818路、807路、S16路等公交车经过，公共交通便捷度好，道路通达度好，区域内居家生活便利。,,,,
金色外滩,估价对象所在小区西南临一里阳光街；西北临陵园路；东南临道路；东北临道路。,周边有“福兴花园”、“ 鹃城帝景”等住宅楼盘，区域内有郫都区一中、郫县郫筒小学校、郫都区郫筒街道长青路幼儿园、郫县示范幼儿园、郫县区人民医院、郫县西汇三九八医院、太平洋百货、郫县综合农贸市场、东街综合市场、中国农业银行、中国工商银行、成都市农村商业银行等公共及生活配套设施，区域内有p32路、p33路、705路、708路、725路等公交车经过，公共交通便捷度和道路通达度较好，居家生活比较便利。,,,,
合能四季城一期,估价对象所在小区东北临龙梓路；西南临华都大道东一段；西北临福梓西街；东南临福梓路。,周边有“盛世桃源”、“华邑阳光里”等住宅楼盘，区域内有龙吟幼儿园、郫县四中、郫县犀浦新兴学校、梓潼村卫生站、连心农贸市场、世纪摩尔超市、百伦广场、红旗超市、建设银行、邮政储蓄银行、工商银行等公共及生活配套设施，区域内有710路、735路、p11路、p29路等公交车经过，距地铁2号线“天河路站”约1.1公里，公共交通便捷度和道路通达度好，区域内居家生活便利。,,,,
丽景东湖二期,估价对象所在小区东南临广场西路，西南临繁广路，东北临滨江西路，西北临锦江路。,周边有“滨江苑”、“万福·海湾小区”等住宅楼盘，区域内有新繁幼儿园、繁江小学、繁江中学、新都第二人民医院、新繁综合市场、红旗超市、中国银行、建设银行、中国农业银行等公共及生活配套设施，区域内有x45路、x62路、x61a路、新都f1路等公交车经过，公共交通便捷度和道路通达度较好，居家生活较方便。,,,,
凤凰1号,估价对象所在小区西北临其他；西南临凤祥大道；东南临凤凰路；东北临其他。,周边有“尚林幸福城”、“凯斯顿华府”等住宅楼盘，区域内有红星幼儿园、大弯小学、大弯中学、成都市青白江区人民医院、青白江区大同镇卫生院、青白江同泰农贸超市、红旗超市、成都市农村商业银行、中国农业银行等公共及生活配套设施，区域内有q23路、q6路、q5路、601号等公交车经过，公共交通便捷度和道路通达度较好，区域内居家生活较方便。,,,,
凯丽美域,估价对象所在小区东北临金祥路；西北临蜀采路；西南临金祥南支路；东南临金祥南支路。,周边有“中央·君悦金沙”、“ 玉双苑”等住宅楼盘，区域内有金丫丫幼稚园、金沙小学、成都市第三十七中学校、成都市青羊区金沙金瓯路社区卫生服务站、成都市第一人民医院金沙医院、红旗超市、永辉超市、工商银行、建设银行、中国银行等公共及生活配套设施，区域内有64路、164路、215路、736路等公交车经过，距地铁4号线“清江西路”站沿路距离约300米，公共交通便捷度和道路通达度好，区域内居家生活便利。,,,,
亲河名居,估价对象所在小区西南临亲河路；西北临三元大道；东南临亲河路；东北临其他。,周边有“方营小区”、“怡欣苑”等住宅楼盘，区域内有新都区大丰小学、成都市新都区杨帆学校、爱德堡幼稚园、成都市新都区第三人民医院、郫县东区医院、世纪华联超市、华美市场、中国农业银行、中国工商银行、交通银行等公共及生活配套设施，区域内有672路、新都d2路、新都d3路、新都d4路等公交车经过，公共交通便捷度和道路通达度好，区域内居家生活便利。,,,,
兰花村,估价对象所在小区西北临其他；西南临其他；东北临景环路；东南临莲花南路。,周边有“都江森邻花园”、“上尚春天”等住宅楼盘，区域内有都江堰市机关幼儿园、都江堰市北街小学实验外国语学校、都江堰市光明团结小学、建国医院、馨康医院、都江堰荷花池市场、幸福建材批发大市场、红旗超市、工商银行、建设银行、邮政银行等公共及生活配套设施，区域内有都江堰34路、都江堰10路、都江堰16路、都江堰12路、都江堰33路等公交车经过，公共交通便捷度和道路通达度较好，区域内居家生活较便利。,,,,
高家庄赞城,估价对象所在小区西北临其他；西南临其他；东南临蜀西南二路；东北临其他。,周边有“白鸽岛尚”、“两河锦地”等住宅楼盘，区域内有成都市蜀西实验学校、成都市迎宾路小学校、成都仁一医院、万裕生活广场、高家农贸市场、百仁门禾蔬菜综合批发市场、成都市中国工商银行、中国农业银行、中国邮政储蓄银行等公共及生活配套设施，区域内有17路、30路、44路、54路、96路、111路、155路等公交车经过，公共交通便捷度和道路通达度好，区域内居家生活便利。,,,,
龙湖金楠天街蓉香庭,估价对象所在小区东北临晋吉北路；西北临其他；西南临金楠街；东南临晋吉西一街。,周边有“中央花园”、“长盛续锦”等住宅楼盘，区域内有青苹果幼稚园、晋阳小学、成都市机投中学、成都双楠医院、四川省妇幼保健院、机投桥果堰社区卫生站、晋吉农贸市场、千盛百货、永晖超市、民生银行、中国银行、工商银行等公共及生活配套设施，区域内有53路、70路、208路、251路、343路、1045路等公交车经过，公共交通便捷度和道路通达度好，居家生活便利。,,,,
世茂城四期,估价对象所在小区东南临其他；西北临天鹅西湖南路；西南临金茶路；东北临其他。,周边有“保利玫瑰花园”、“融创天府逸家”“华润国际社区”等住宅楼盘，区域内有爱萌贝儿幼稚园龙泉园、龙泉驿区第十小学校幼儿园、北大成都附中校、大面街道龙安社区卫生服务站、龙泉驿区龙华社区卫生服务中心、大面综合市场、红旗超市、中国银行、工商银行、成都农商银行等公共及生活配套设施，区域内有873路、891路、l002路、l013路等公交车经过，公共交通便捷度好，道路通达度好，区域内居家生活方便。,,,,
西南兵工成都医院宿舍,估价对象所在小区西北临何公路；西南临文信路；东南临其他；东北临其他。,周边有“星光大道”、“ 南大街34号”等住宅楼盘，区域内有郫都区一中、郫都区二中、郫县机关幼儿园、西南兵工成都医院、郫县中医院、郫县百货商城、东南新城农贸市场、南街市场、工商银行、中国人民银行等公共及生活配套设施，区域内有p01路、p33路、p26路、p27路、p34路等公交车经过，公共交通便捷度和道路通达度好，区域内居家生活便利。,,,,
天空城,估价对象所在小区西北临中环路崔家店路段；西南临崔家店南路；东北临其他；东南临其他。,周边有“阳光舜苑”、“上霖东方”等住宅楼盘，区域内有崔家幼儿园、列五中学南华实验学校、成都理工大学、成华区万年社区卫生服务中心、成都东升医院、崔家农贸市场、红旗超市、商业银行、农商银行等公共及生活配套设施，区域内有8路、128路、297路、1161路等公交车经过，公共交通便捷度和道路通达度好，区域内居家生活便利。,,,,
川齿厂宿舍,估价对象所在小区东临空港一路，北临其他，西临西航港大道一段，南临腾飞路。,周边有“文星花园”、“蜀星花园”等住宅楼盘，区域内有莲花社区幼儿园、双流区西航港小学、双流区西航港第二初级中学、西航港社区卫生服务中心、锦玉购物中心、湖夹滩综合市场、农业银行、邮政银行、工商银行等公共及生活配套设施齐全，区域内有817路、824路、826路、846路、832路等公交车经过，公共交通便捷度和道路通达度较好，区域内居家生活较便利。,,,,
西华雅苑,估价对象所在小区西南临住宅、西北临住宅、东南临广场路、东北临通道。,周边有“正成名城左岸”、“西区御景”等住宅楼盘，区域内有苗地幼儿园、金雨点幼稚园、西华大学、佳苑社区卫生服务站、郫县红光镇卫生院、世纪百盛购物广场、永乐汇生活购物广场、红旗超市、中国农业银行、中国邮政储蓄银行、中国工商银行等公共及生活配套设施，区域内有723路、726路、p18路、p51路、p08路等公交车经过，公共交通便捷度和道路通达度较好，居家生活较便利。,,,,
温江花语岸,估价对象所在小区东北临其他；西北临江乡路；东南临其他；西南临春江南路。,周边有“大庆蜀苑”、“春江.青龙湾”等住宅楼盘，区域内有春江青龙湾幼儿园、四川电力职业技术学院、五里村医疗公共卫生服务站、温江天乡医院、青龙湾农贸市场、城北大市场、红旗超市、中国邮政储蓄银行、成都市农村商业银行等公共及生活配套设施，区域内有759路、772路、w25路、w343路等公交车经过，公共交通便捷度较好，道路通达度好，区域内居家生活较便利。,,,,
国龙花园,估价对象所在小区北临华金大道二段；西临青江北路；南临怡湖东路；东临其他。,周边有“怡湖玫瑰苑”、“清华逸景”等住宅楼盘，区域内有大湾小学站、成都市大弯至佳实验学校、成都青白江同济医院、大弯社区卫生服务中心、怡湖市场、雷迪波尔百货、南充市商业银行、成都银行等公共及生活配套设施，区域内有q3路、q4路、q50路、q7路、q8路等公交车经过，公共交通便捷度和道路通达度较好，区域内居家生活较方便。,,,,
民和·胜地金芙蓉,估价对象所在小区东北临开金路；东南临其他；西北临金菊街；西南临其他。,周边有“芙蓉家苑”、“芙蓉馨苑”等住宅楼盘，区域内有成都市永宁小学校、有永宁中学、温江区永宁镇康城幼儿园、温江区永宁卫生院、华西医院第3门诊部、永宁农贸市场、舞东风超市、兴业银行、成都市农村商业银行等公共及生活配套设施；区域内有22路、762路、w14路、w36路、44路、763路等公交车经过，公共交通便捷度和道路通达度好，区域内居家生活便利。,,,,
中航国际交流中心,估价对象所在小区北临锦尚西一路；西临益州大道北段；南临蜀锦路；东临交子南二路。,周边有“南苑”、“天府世家”等住宅楼盘，区域内有金苹果爱弥幼稚园、泡桐树幼儿园、泡桐树小学、成都第一人民医院、奥克斯广场、环球中心、成都银行、交通银行、招商银行等公共及生活配套设施，区域内有115路、188路、236路、505路等公交车经过，距地铁1号线“孵化园”站约320米，公共交通便捷度和道路通达度较好，居家生活比较便利。,,,,
经华北路16号大院,估价对象所在小区西北临道路；西南临双桥路南四段；东南临经华北路；东北临其他。,周边有“北一街小区”、“七六苑”等住宅楼盘，区域内有成都市第十三幼儿园、成都市双林小学校、成都列五中学高中部、成都新华医院、成都成华城东医院、银河商业广场、万象城、牛市口菜市场、家乐福、中国银行、中国邮政储蓄银行、工商银行等公共及生活配套设施，区域内有20路、65路、106路、341路、1125路等公交车经过，距地铁4号线“双桥子”站沿路距离约520米，公共交通便捷度和道路通达度好，区域内居家生活方便。,,,,
金堂金融中心,估价对象所在小区东临其他；西临其他；北临金川路；南临其他。,周边有“水城印象”、“绿洲国际”等住宅楼盘，区域内有加州阳光金阳幼儿园、韩滩慈济小学、成都七中育才学校金堂分校、金堂县妇幼保健院(新)、金堂县中医医院、金堂万达广场、红旗超市、中国银行、农业银行、邮政银行、成都银行等公共及生活配套设施，区域内有金堂11路、金堂5路、金堂10路、金堂6路等公交车经过，公共交通便捷度和道路通达度较好，区域内居家生活较便利。,,,,
檬梓苑,估价对象所在小区西北临天勤路；西南临檬梓街；东南、东北临檬梓环街。,周边有“八里苑”、“合兴苑”等住宅楼盘，区域内有成都高新滨河学校、独柏幼儿园、郫县港区医院、滨河农贸市场、时代购物中心、成都市农村商业银行等公共及生活配套设施，区域内有202路、720a路、720路、p04路、p07路等公交车经过，公共交通便捷度和道路通达度较好，区域内居家生活较便利。,,,,
人民医院家属院,估价对象所在小区东北临东大街；西北临民俗文化街；东南、南临一环路东南段；西南临民俗文化街。,周边有“蜀都新城”、“星光大道”等住宅楼盘，区域内有郫县机关幼儿园、郫县郫筒小学校、郫都区二中、郫都区人民医院、郫县郫筒镇社区卫生服务中心、百伦广场、东街综合市场、红旗超市、中国建设银行、成都市农村商业银行、中国工商银行等公共及生活配套设施，区域内有705路、708路、725路、p07路、p33路等公交车经过，公共交通便捷度和道路通达度较好，区域内居家生活较便利。,,,,
花样年美年广场,估价对象所在小区估价对象所在楼盘东临天府大道中段；西临道路；南临河流；北临天府五街。,区域内有天府大道、天府五街等街道布局，区域路网密度较大，道路通达度较好；有育蒙国际幼稚园、华阳实验小学锦江校区、天府软件园卫生站、沃尔玛超市、银泰城购物中心、红旗超市、中国银行、工商银行等公共及生活配套设施，区域内有195路、236路、124路、240a路、501路、509路等公交站点，距地铁1号线“天府五街站”沿路距离约400米，公共交通便捷度好，周边有天府新区市政设施管理办公室、成都服务外包行业协会等政府机构，有天府软件园、长虹科技大厦等写字楼，写字楼分布较多，商务聚集度较好。,,,,
蜀青名苑,估价对象所在小区东北临青华东路；东南临其他；西北临大弯南路；西南临其他。,周边有“玉龙小区南区”、“糊涂庭”等住宅楼盘，区域内成都市大弯至佳实验学校、川化润嘉幼稚园、福康医院、大弯社区卫生服务中心、红旗超市、华联超市、成都市农村商业银行、中国邮政储蓄银行等公共及生活配套设施，区域内有q3路、q52路、q1路、q55路等公交车经过，公共交通便捷度和道路通达度好，区域内居家生活便利。,,,,
崇兴小区,估价对象所在小区东北临其他；东南临长清路；西南临其他；西北临其他。,周边有“蜀都新天地”、“滨河花园”等住宅楼盘，区域内有鹃城幼儿园、馨乐幼儿园、郫筒镇第二小学(华西校区)、郫县西汇三九八医院、郫县郫筒镇社区卫生服务中心、蜀都万达广场、东街综合市场、红旗超市、成都市农村商业银行、建设银行、农业银行等公共及生活配套设施，区域内有p34路、720路、p48路、p49路、p50路等公交车经过，公共交通便捷度和道路通达度好，区域内居家生活便利。,,,,
繁江锦城,估价对象所在小区北临正南街，南临其他，西临其他，东临繁江大道。,"周边有上海中优国际广场、弘瑞小区等住宅楼盘，区域内有新都二中、繁江小学、新都第二人民医院、新繁中心卫生医院、桂湖摩尔超市新繁店,吉选购物中心、新街菜市、农业银行、邮政银行、中国银行等公共及生活配套设施，区域内有新都f3路、新繁2路、新都f1路等公交车经过，公共交通便捷度一般，道路通达度一般，区域内居家生活比较方便。",,,,
二环路西二段52号院,估价对象所在小区东南临其他；西北临其他；西南临二环路西二段辅路；东北临其他。,周边有“清江小雅”、“凯乐碧园”等住宅楼盘，区域内有西南财经大学（光华校区）、金沙小学、成都市浣花小学、青羊区第五人民医院、四川省示范社区卫生服务中心、麦德龙、沃尔玛超市、金沙时代生活广场、工商银行、中国银行、成都银行等公共及生活配套设施，区域内有有32路、64路、82路、105路、111路等公交车经过，距地铁4号线“西南财大”站沿路距离约150米，公共交通便捷度和道路通达度好，居家生活便利。,,,,
警官公寓,估价对象所在小区东北临万方街；西北临康宁街；东南临其他；西南临其他； ,周边有 “泰康尚境”、“ 泰康博观”等住宅楼盘，区域内有金堂中学、金堂县实验小学、金堂县中医医院、成都医学院第一附属医院指导医院、金堂万达广场、沃尔玛大卖场、美加美百货、中国银行、成都市农村商业银行、中国邮政储蓄银行、中国农业银行等公共及生活配套设施，区域内有金堂2路、金堂7路、金堂8路、金堂4路、金堂11路等公交车经过，公共交通便捷度和道路通达度较好，区域内居家生活较便利。,,,,
富丽东方,估价对象所在小区北临保华路；西临和美路；南临和美东路；东临其他。,周边有“首创国际城”、“蓝光锦绣城”等住宅楼盘，区域内有苗苗幼儿园、成都树德小学、成都四十九中、万科魅力广场、东虹路综合市场、永辉超市、成华区第六人民医院、成都市成华区和美社区卫生服务站、农业银行、中招商银行、建设银行等公共及生活配套设施，区域内有855路、1108路、1158路、137路等公交车经过，距地铁2号线“成渝立交”站沿路距离约1.0公里，公共交通便捷度和道路通达度好，居家生活便利。,,,,
富丽花城,估价对象所在小区东临东荆路；西临其他；南临荆翠中路；北临北三环路四段。,周边有“东林小区”、“华宇?阳光尚座”等住宅楼盘，区域内有青龙中心幼儿园、北新实验小学、海滨小学、新山社区卫生服务站、青龙广场、东林农贸市场、红旗超市、招商银行、中国建设银行、中国光大银行等公共及生活配套设施，区域内有32路、156a路、156b路、245路、1035路、1122路等公交车经过，距地铁3号线“动物园”站约900米，公共交通便捷度和道路通达度好，区域内居家生活便利。,,,,
千和家和楼,估价对象所在小区西临其他；南临其他；东临二坏路东三段；北临其他。,周边有“花样年花郡”、“东景丽苑”等住宅楼盘，区域内有成都市双林小学、成都石室小学、成都石室中学初中学校、成都成华城东医院、成都市成华区东篱社区卫生服务中心、恒大中央广场、万象城、万年场市场、家乐福、中国工商银行、中国建设银行、中国农业银行等公共及生活配套设施，区域内有5路、80路、101路、1161路等公交车经过，距地铁4号线“双桥路”站沿路距离约580米，公共交通便捷度和道路通达度好，区域内居家生活方便。,,,,
博雅新城A区,估价对象所在小区北临滨河路一巷；西临高堆路；南临其他；东临滨河路一巷。,周边有“新丰嘉苑”、“翰林苑”等住宅楼盘，区域内有智慧树双语幼儿园、新都区大丰小学、大丰中学、新都协和康复医院、大丰街道大丰社区卫生服务中心、方营社区-卫生站、高堆菜市、世纪百盛购物广场、福光超市、中国农业银行、成都市农村商业银行、中国工商银行等公共及生活配套设施，区域内有15路、24路、168路、169路、g26路等公交车经过，公共交通便捷度和道路通达度较好，区域内居家生活较便利。,,,,
龙湖?弗莱明戈,估价对象所在小区东北临望丛中路；西北临蜀信路一段；西南临蜀顺路；东南临蜀信东路。,周边有“鹃城苑四期”、“ 中信未来城-北区”等住宅楼盘，区域内有高宽创智幼儿园、郫筒镇第二小学、郫都区实验学校、郫县西汇三九八医院、郫县人民医院、郫县太平洋广场、太平洋百货、交通银行、兴业银行、中国民生银行等公共及生活配套设施，区域内有705a路、705路、725路、p03路等公交车经过，公共交通便捷度和道路通达度较好，区域内居家生活便利。,,,,
锦欣苑,估价对象所在小区东北临双吉街；西北临双清中路；西南临锦西路；东南临双顺路。,周边有“双顺路60号”、“ 锦卉苑”等住宅楼盘，区域内有成都金贝贝幼稚园、成都市浣花小学、石室联合中学、成都市妇女儿童医院、成都市第一人民医院金沙医院、红旗超市、仁和春天百货、交通银行、招商银行、中国银行等公共及生活配套设施，区域内有13路、37路、175路、209路等公交车经过，距地铁4号线“西南财大”站沿路距离约713米，公共交通便捷度和道路通达度好，区域内居家生活便利。,,,,
上都二期,估价对象所在小区北、西北临一环路西北段；西南临其他；东南临小北街。,周边有“中铁.世纪中心”、“ 西都会”等住宅楼盘，区域内有郫县示范幼儿园、苗苗幼儿园、天骄幼儿园、郫筒一小、郫都区人民医院、郫县郫筒镇社区卫生服务中心、郫县综合农贸市场、汇民金壕菜市场、红旗超市、中国农业银行、中国工商银行、中国建设银行等公共及生活配套设施，区域内有705路、708路、725路、p01路、p12路等公交车经过，公共交通便捷度和道路通达度较好，居家生活比较便利。,,,,
中铁十九局集团三公司金堂基地,估价对象所在小区东临康宁街；西临金航街；南临滨江路一段；北临万安街。,周边有“滨江苑”、“金航花园”等住宅楼盘，区域内有金堂县实验幼儿园、金堂县实验小学、金堂中学、金堂县中医医院、金堂仁爱医院、金堂万达广场、滨江百货商场、成都市农村商业银行、中国建设银行、中国工商银行等公共及生活配套设施，区域内有2路、5路、7路、8路、11路等公交车经过，公共交通便捷度和道路通达度较好，区域内居家生活较便利。,,,,
比华利国际城一期,估价对象所在小区东北临佳宏路；东南临其他；西南临道路；西北临佳宏北路。,周边有“嘉和园”、“ 大观苑”等住宅楼盘，区域内有大观里幼儿园、成都市大观小学、成都市第三中学、狮子山社区卫生服务中心、沙河堡医院、成都市锦江区妇幼保健院、嘉园菜市场、海桐农贸市场、成都银行、邮政银行、农业银行等公共及生活配套设施，区域内有12路、47路、79路、104路、218路、230路、313路等公交车经过，公共交通便捷度和道路通达度好，区域内居家生活便利。,,,,
三利宅院东区,估价对象所在小区西北临迎江路；西南临中和大道；东南临其他；东北临红星路南延线。,周边有“领事国际城”、“红树湾”等住宅楼盘，区域内有爱维国际幼稚园、双龙小学、高新区中和片区新城学校、中和社区卫生服务中心、中和大市场、锦华农贸商场、香榭购物中心、建设银行、农村商业银行、工商银行等公共及生活配套设施，区域内有124路、510路、259路、507路、517路等公交车经过，公共交通便捷度和道路通达度好，居家生活便利。,,,,
润泽园二期,估价对象所在小区西北临其他；西南临红旗巷；东南临解放路一段；东北临道路。,周边有“芙蓉华庭”、“瑞安﹒城中汇”等住宅楼盘，区域内有成都市驷马桥小学校、成都市人北实验小学、成都八中、416医院、诚实医院、红旗超市、横桥社区综合便民菜市场、邮政储蓄银行、恒丰银行、农业银行等公共及生活配套设施，区域内有1路、2路、9路、18路、32路等公交车经过，距地铁三号线“驷马桥”站约300米，公共交通便捷度和道路通达度好，区域内居家生活便利。,,,,
御城,估价对象所在小区北临其他；西临育英路；南临河道；东临万和北路。,周边有“北城1号”、“御城”等住宅楼盘，区域内有优尚旺府豪庭幼稚园、机关幼儿园、新都区中医院、缤纷新天地、世纪华联超市、新城市购物广场、中国工商银行、中国农业银行、中国建设银行等公共及生活配套设施，区域内有650路、652路、679路、新都k4路、新都k5路等公交车经过，公共交通便捷度和道路通达度较好，区域内居家生活较方便。,,,,
维罗娜,估价对象所在小区西北临金园街；西南临十里大道二段；东北临其他；东南临其他。,周边有“森林小区”、“现代名城”等住宅楼盘，区域内有金沙小学、金山宝贝幼儿园、金堂仁爱医院、赵镇十里社区卫生服务站、永辉超市、红旗超市、中国银行、中国民生银行等公共及生活配套设施，区域内有金堂8路、金堂2路、金堂7路、602路等公交车经过，公共交通便捷度和道路通达度较好，居家生活较便利。,,,,
成都机动车厂职工宿舍,估价对象所在小区东北临其他；东南临其他；西北临其他；西南临田家巷。,周边有“红花小区”、“红花东路20号小区”等住宅楼盘，区域内成都市驷马桥小学校、成都市第八中学、核工业四一六医院、成都市第十一人民医院、绿宇商厦、南玻商厦、建设银行、农业银行等公共及生活配套设施，区域内有154路、1路、32路、64路等公交车经过，距地铁3号线“李家沱”站沿线760米，公共交通便捷度和道路通达度好，区域内居家生活便利。,,,,
正成·城市乐章,估价对象所在小区北临其他；西临其他；南临武青东一路；东临其他。,周边有“寅生杜鹃花园”、“华都·星公馆”等住宅楼盘，区域内有成都市武侯区机投小学、行知实验小学、成都嘉成育才幼儿园、成都市武侯机投医院、喜得儿医院、潮音村便民菜市场、家乐福超市、红旗超市、成都市农村商业银行、中国邮政储蓄银行、交通银行等公共及生活配套设施，区域内有89路、123路、208路、339路、509路、844路、908路等公交车经过，公共交通便捷度和道路通达度好，居家生活便利。,,,,
桂湖河畔,估价对象所在小区西临状元街；南临桂湖西路；东临其他；北临其他。,周边有“状元坊”、“桂湖河畔南区”等住宅楼盘，区域内有新都西街小学、天元中学、成都医学院第一附属医院、新都区人民医院、万家福超市、红旗超市、中国工商银行、成都市农村商业银行等公共及生活配套设施，区域内有新都k1、新都k5、x10路、x07路等公交车经过，公共交通便捷度和道路通达度较好，区域内居家生活较便利。 ,,,,
菜市巷138号院,估价对象所在小区东临其他；西临其他；南临其他；北临其他。,周边有“状元公寓”、“桂湖名都”等住宅楼盘，区域内新都区机关幼儿园、新都西街小学、升庵中学、清流镇中心医院、新都区人民医院、桂湖森林广场、西门菜市、红旗超市、农商银行、建设银行、工商银行等公共及生活配套设施，区域内651路、x02路、x42路、新都k8a路等公交车经过，公共交通便捷度较好，道路通达度较好，区域内居家生活较便利。,,,,
堤亚纳河谷,估价对象所在小区西北临道路；西南临道路；东南临其他；东北临兴城大道。,周边有“澳洲湾”、“交大·香洲半岛南庭”等住宅楼盘，区域内有谕亭小学、金河谷爱伦幼儿园、金河谷爱伦幼儿园、大榕华超市、双河鹭岛农贸市场、香域超市、中国工商银行等公共及生活配套设施，区域内有655路、658路、x06路、x13路、新都k6路等公交车经过，公共交通便捷度和道路通达度较好，区域内居家生活较方便。,,,,
中国水电云立方,估价对象所在小区东北临其他；西北临其他；东南临龙城大道；西南临成龙大道。,周边有“保利玫瑰花语”、“世茂城”等住宅楼盘，区域内有四川师大附属启夏幼儿园、龙泉驿区第十小学、四川师大成龙校区医院、吉家超市、红旗超市、工商银行、农业银行、中国银行等公共及生活配套设施；区域内有313路、332路、856a路、898路、899路、l014路等公交车经过，公共交通便捷度和道路通达度好，区域内居家生活便利。,,,,
翔宇苑北区,估价对象所在小区东临紫竹南二街；西临紫竹南一街；北临其他；南临紫薇东路。,周边有“自由星城”、“四季家园”等住宅楼盘，区域内有童喜幼儿园、成都市高新区实验小学、成都市棕北中学、成都市棕北中学、芳草社区卫生服务中心、成都棕南妇科医院、家乐福、多乐惠农贸市场、红旗超市、神仙树公园、农业银行、中国银行、工商银行等公共及生活配套设施，区域内有247路、1023路、816路、59路等公交车经过，公共交通便捷度和道路通达度好，区域内居家生活便利。,,,,
左右综合楼,估价对象所在小区东临东坡北二路，南临清影路，西临东坡北三路，北临玉宇路。,周边有“齐力碧水湾”、“华府世家”等住宅楼盘，区域内有泡桐树小学西区、成都市青羊实验中学附属小学、成都第三十七中学、四川省人民医院第五门诊部、青羊区第九人民医院、红旗超市、世茂农贸市场、中国民生银行、中国邮政储蓄银行等公共及生活配套设施，区域内有170路、1118路、21路、37路、215路等公交车经过，公共交通便捷度较好，距地铁4号线“清江西路”站沿路距离约1.5公里，道路通达度好，区域内居家生活便利。,,,,
时代水岸康城,估价对象所在小区东北临思源路；西北临其他；西南临其他；东南临幸福路北一段。,周边有“上善天成”、“ 公园1号”等住宅楼盘，区域内有安吉儿幼儿园、成都高新区尚阳小学、思源学校、郫县红光镇卫生医院、金仪社区卫生服务站、永乐汇生活购物广场、百盛源购物中心、工商银行、中国银行、农业银行活配套设施，区域内有723路、733路、p07路、p15路经过，捷度和道路通达度好，区域内居家生活便利。,,,,
育苗佳苑,估价对象所在小区东北临育英路；西北临道其他；东南临育苗路；西南临其他。,周边有“阳曦芙蓉城”、“金璐天下”等住宅楼盘，区域内有成都市第四幼儿园、成都蜀汉外国语实验小学、成都七中八一学校、金牛区人民医院、成都西华医院、家乐福、南家农贸市场、红色一三组就业大菜市、建设银行、天津银行、工商银行等公共及生活配套设施，区域内有7路、29路、96路、155路等公交车经过，距离地铁2号线“羊犀立交”站约880米，公共交通便捷度和道路通达度好， 区域内居家生活便利。,,,,
龙湖北城天街二期,估价对象所在小区东北临五福桥东路；西北临道路；西南临蓉北商贸大道一段；东南临其他。,周边有“蓝光中央天地”、“ 龙湖北城一期”等住宅楼盘，区域内有快乐幼儿园、金韵幼儿园、成都市五块石小学、锦西中学校、成都洲际医院、世博医院、龙湖北城天街购物、工商银行、建设银行、中国银行等公共及生活配套设施，区域内有16路、402路、24路、52路等公交车经过，公共交通便捷度和道路通达度好，区域内居家生活便利。,,,,
翡翠半岛国际社区,估价对象所在小区西北临河流；西南临道路；东北临其他；东南临老成仁路。,周边有“领馆国际城”、“嘉年华御府”等住宅楼盘，区域内有成都高新区行知小学、成都高新新华学校、木子国际幼稚园、中和社区卫生服务中心、沁园世纪广场、兴农绿色农场、舞东风超市、浙江民秦商业银行、成都市农村商业银行、建设银行等公共及生活配套设施，区域内有124路、195路、240a路、517路等公交车经过，距地铁1号线“天府五街”站约1.4公里，公共交通便捷度和道路通达度好，居家生活方便。,,,,
狮马路4号院,估价对象所在小区东北临其他；东南临狮马路；西南临其他；西北临其他。,周边有“狮子巷56号院”、“狮子巷60号”等住宅楼盘，区域内有四川省直属机关玉泉幼儿园、成都市第十一中学校、成都列五中学、成都市第二人民医院、成都市第一人民医院、青羊区北东街菜市场、人人乐超市、赛格广场、农业银行、建设银行等公共及生活配套设施，区域内有154路、18路、45路、53路、154路等公交车经过，公共交通便捷度和道路通达度好，区域内居家生活便利。,,,,
